Sentence	Tokens
كتبت كوري شولمان, المساعدة الخاصة لأوباما في تدوينة نشرتها يوم الإثنين: "فيما الكثير من عمليات الانتقال الرقمي غير مسبوقة في الولايات المتحدة, فإن الانتقال السلمي للسلطة سبق له أن حدث".	40
بالنسبة إلى أولئك الذين يتابعون الانتقال الخاص بوسائل التواصل الاجتماعي في الكابيتول هيل, سيكون الأمر مختلفاً بعض الشيء.	23
لكن بعيداً عن كلامه السابق بشأن الحد من الهجرة, أعلن المرشح الجمهوري أنه كرئيس سيسمح "بأعدادٍ هائلة" من المهاجرين الشرعيين على أساس "نظام الجدارة".	32
قال للحشد الذي تجمع في أحد الملاعب الرياضية الخاصة بجامعة كارولينا الشمالية.	15
تمول النفقات الجديدة من خلال حساب كلينتون المصرفي الكبير.	11
إن ما تقوله وما تفعله... في الواقع, إنه أمرٌ لا يصدق.	15
الحد الأقصى المسموح به للشخص الواحد هو 5000 دولار.	10
في أوائل شهر تشرين الأول, استخدم الفريق الانتقالي ذات المكان للقاء جماعات الضغط التكنولوجية, بحضور ممثلين عن شركة "أوبر" وجمعية الفيلم الأمريكي وجمعية مستهلكي التكنولوجيا وغيرها.	33
كان من المقرر في الأصل أن يقام التجمع في نادي المتروبوليتان في واشنطن في شارع "إتش" الذي لا يبعد كثيراً.	25
لربما كان الزي الواجب ارتداؤه خانقاً زيادة عن اللزوم.	14
على سبيل المثال, بدلاً من تدريس المنهج العلمي كوحدة منفصلة, يتعلم الطلاب المحتوى العلمي من خلال التطبيق.	21
حصلوا على المعدل الوطني العام بالنسبة إلى الصف الرابع, وأفضل من المعدل الوطني العام بالنسبة إلى الصف الثامن.	21
على سبيل المقارنة, تكلف الأمر 103,7 مليون دولار أمريكي لبناء محطة مترو "نوما" البينية التي افتتحت عام 2004.	25
قال جو ستيرنليب, رئيس منطقة جورجتاون لتطوير الأعمال: "نواجه الكثير من المنافسة, ونرى أن بوسع النقل بالمرور أن يساعد".	28
تقدر دراسة الجدوى أن المسافرين سيستغرقون نحو أربع دقائق لعبور نهر بوتوماك على متن الجندول.	20
أخبر شاهد عيان الشرطة أن الضحية هاجم المشتبه به في شهر نيسان الماضي.	14
ثمة أوجه تشابهٍ هنا بين الألعاب وحياتنا اليومية.	11
وارتفعت تلك النسبة باطراد بمرور السنين ـ11 بالمئة فقط من إجمالي الأصوات طرحت يوم الانتخابات عام 1996 وفق مكتب الإحصاءـ ويبدو أنها من المرجح أن ترتفع مجدداً هذا العام.	35
قد يكون "خنزير" خنزيراً وحيداً, غير أنه لا يترك وحده أبداً.	19
قال ثاقب: "طلبنا المساعدة من الدول الأخرى كي نملأ حديقة الحيوان بأنواعٍ مختلفة من الحيوانات بما فيها الخنازير".	25
قال السيد بانفالكار أنه شعر ذات مرة أن عليهم ترك المبنى.	14
وجهت إليها التهمة أيضاً بمحاولة قتل ابنتها ذات العامين.	12
صرحت الشرطة أن المرأة قتلت أندريه برايس الثالث من خلال ضغط وجهه بفرشة هوائية في غرفة جلوسها قبل أن تحاول فعل ذات الشيء مع ابنتها.	29
سأدخل السجن في كل الأحوال, آمل أن الأمر كان يستحق.	13
بدأت أولى اليزيديات بالبكاء, ثم تبعتها إحدى صديقاتها.	14
وقع السيد أوزبورن عقداً مع وكالة استشارية أمريكية بعد أن صرف من عمله في تموز.	18
قال مايكل فالون أن تاريخ البدء بقطع الفولاذ سيسهم في تأمين استثمارات جديدة وحفظ مئات الوظائف المهارية حتى عام 2035.	24
أطلق وعد البحرية الملكية بإجراء ترتيبات جديدة لتأمين صناعة السفن في نهر كلايد قبل استفتاء استقلال اسكتلندا عام 2014.	22
ويتجلى هذا بأبهى صوره عندما يكون اسم الشخص الشهير نادراً جداً في البداية.	20
