,Sentences,Epoch-10
0,"My goodness, everyone's on their game today.",52.389909622674175
1,"- I know that, Sylvie.",202.9923003188477
2,"They're the 30 entrepreneurs who are doing things that are cool, trendy, hot.",109.74873767972495
3,You should've asked me first.,8.629591279583089
4,Everything you ever told me was a lie.,8.387630815024062
5,Are you making fun of us?,7.7907454924931985
6,Maybe you should tell her.,9.665997281166105
7,"Squirrel, Squirrel, Squirrel, where the fuck are your nuts?",105.19648702668958
8,"Dad, this place has literally zero stars on Yelp.",197.2738033476645
9,Don't fucking walk away from me.,7.192341208960362
10,"He drove to the basket and the referee called a foul, and Magic threw the ball up to the top of the arena and was screaming about,",148.2870317621536
11,"After you and me talked, I searched that idiot Steve out... to rebuke him and smack him in the face for being who he was.",101.53947464674005
12,"Okay, one second, let me just...",17.78599398926388
13,I don't give a shit if he was trying to melt his balls together.,29.053693898531435
14,There were five of us.,10.974925749445408
15,- I'll give you a call about this.,41.94380505875611
16,Why did you let me lie to you?,8.520039757097818
17,That's not what we agreed on.,4.367500297681441
18,"As soon as I said that, she ran.",27.0681167900253
19,"Yeah, well, if you think that's a surprise, try this.",14.819509877882272
20,I've heard much about you.,13.942767148314573
21,Just as it is his will who shall win.,176.18104426440675
22,Hate is a burden.,114.35595392090936
23,"We have to fight against the lack of opportunities, jobs, and basic services, such as health care and education.",61.18471011660509
24,It also has messaging and mobile banking functions.,1151.9226100431868
25,I used it already.,107.95768343449865
26,"Without your source, it reads like random murders.",141.7826368431978
27,The tall one.,106.10985911321448
28,You're the real deal.,15.933192052549161
29,I should be sitting at a desk.,50.299731766387566
30,It's just a game!,13.576631442542588
31,[Park Min-young] He boasts about his 95-percent conviction rate.,105.07882361874981
32,"You know the saying,",45.7750440016186
33,-Nothing's the matter.,82.84885608419164
34,"They dedicated their lives to the Silo, like we all do every day.",35.20373622659647
35,"Hey, where is my wife?",9.328206033279919
36,"Hey, it's my favorite member of the bureau.",27.084055275763294
37,Visiting hours ends at nine.,915.7672421418812
38,Are you certain the entire party was not simply eyeing a tear in her dress?,266.2134979403281
39,Results are still coming back the same.,174.3834813852274
40,We have to get down to the tree line.,14.493842964069072
41,"God, I feel so good.",11.629676078497274
42,Come back for it.,27.021259504620453
43,"For a woman, whose little daughter had an unclean spirit, having heard of him, came and fell down at his feet.",26.251699056125183
44,We are card counters at the blackjack table and we're gonna turn the odds on the casino.,117.4754798308741
45,Who's counting anymore?,311.637855175511
46,I thought I could try to analyze you and get to the root of your anxiety.,41.30066498108212
47,[Maan exhales] I'm exhausted.,128.40242742607353
48,"-Do you need us with you, Chief?",58.3027088208002
49,To do this.,21.78979801452034
50,Lots of railings and ramps if safety is your thing.,524.6373350100728
