Sentence	Characters	Bytes
- 只是永远?	6	14
这是哈吉伊万里的家	9	27
他尿了床	4	12
这些借款已于2008年2月底还清。	17	41
以下国家的观察员：澳大利亚、斯洛伐克和美利坚合众国。	26	78
亚伯是个好丈夫	7	21
行为准则里有一项规定，强调联合国在国际和平与安全领域的作用和责任。	33	99
最后 我还是无法 对布鲁诺说出"我爱你"	18	50
1. 赞赏地注意到索马里提交了一份确保迅速恢复遵守《议定书》规定的哈龙控制措施的行动计划，根据该计划，在不妨碍《议定书》财务机制运作的情况下，索马里具体承诺：	78	230
你们有谁能进去吗?	9	25
- 我一会儿回来	7	19
7. 考虑到本区域在执行《中美洲民主安全框架条约》方面所取得的积极成果，主要是由于将安全概念的重要现实意义转化为单一、综合和不可分割模式，并考虑到需要继续加强在这方面的合作。	86	254
你们觉得豪尔赫 和曼努埃尔也死了吗?	17	49
信息和通信技术战略的实施情况	14	42
再见 玩得开心	6	18
贸发会议传播和外联活动的关键目标是：(a) 帮助执行《阿克拉协议》为贸发会议制定的任务；(b) 通过针对性明确的传播和外联，包括现代的联络和传播方式，提高贸发会议工作的知名度、可信度和影响；(c) 确保对主要目标群体的有效传播及获得反馈；(d) 将良好的传播做法纳入整个组织的主流。	137	387
最后，国际社会必须对《布鲁塞尔行动纲领》规定的目标和指标表现出更强烈的政治意愿，做出更多的承诺。	48	144
同时，制定了人口贩运路线分布图。 开展了4场打击暴力侵害妇女的宣传运动。	35	103
此外，2010年8月，主任被人权高专办任命为非法转移和倾弃有毒危险产品和废物对享受人权的不良影响问题特别报告员。	56	158
哦 天哪 露丝	5	15
设立特别准备金账户，应对汇率波动	16	48
目前，地方行动计划正在制定当中，其目的是为了在所述各区实现两性平等。	34	102
36. 吁请国际组织和区域组织继续定期评估各国普遍利用信息和通信技术的情况并提出报告，目的是为发展中国家信息和通信技术部门的增长创造公平机会；	70	204
10. 会议注意到秘书处维持和平部、环境规划署、联合国组织卫星服务及其他实体对印度洋海啸作出了反应。	49	141
上帝的荣光照耀着我们全家人	13	39
而且可能会如你所知让世界解体	14	42
我根本不想听 这些狗屁玩意儿！	14	42
这家伙的动作精度不是普通巨人能比的	17	51
- 想试试你的运气吗?	10	26
一位发言者代表一个大集团向委员会进言，敦促采取所有可能的措施，加强联合国各新闻中心。	42	126
268.赞比亚代表注意到国家方案文件源自一个涉及一系列政府和民间社会利益攸关方的民主进程。	45	127
《公约》目前有159个缔约国，有15个签署国，另有21个国家既未签署也未批准。	39	103
要将他们训练到有能力 支援系统 但... 飞船本身就非常智能	27	75
好吧，因为先生布雷迪 死的A. I. D.	18	42
2005年梵蒂冈教宗选举	12	28
被条子抓住了 你看，比尔	11	33
38. Amorós Núñez先生（古巴）说，拟议战略框架的方案19对人权高专办今后的工作至关重要，应当得到所有会员国的支持。	62	157
老板每人给50块钱呐	10	26
这次查抄并未发现他拥有任何武器，但没收了18个9毫米弹夹、50发12毫米口径子弹和1个手枪皮套。	48	128
17. 在同一次会议上，主管经济和社会事务副秘书长介绍了秘书长在该项目下的报告(E/2010/93)。	50	122
会议将由牙买加常驻代表宣布开幕。	16	48
奥巴马清楚地表明美国的愿望是引领而不是支配，这是正确的，也令人耳目一新。 但即便是谦逊和现实主义的施政也需要强大的联盟，而其中的伙伴也要愿意做出牺牲。 老牌的敌人和竞争者如俄罗斯和中国也不会放弃损美利己的机会。 只有当这一切变得异常明了，且当一些陈腐的外交政策范例（如对巴以冲突的两国解决方案的痴迷）再一次失败时，做出真正抉择的时刻才会到来。	168	504
- 什么充分的理由?	9	23
在肯尼亚境外出生的人，若其父在其出生当日已是肯尼亚公民，则其也应当是肯尼亚公民。	40	120
不过i上我儡l、]浼定 0	12	28
68. 例如，《防止及惩治灭绝种族罪公约》第4条规定，实施种族灭绝罪者，无论其为依宪法负责的统治者、公务员或私人，均应受到惩治。	63	181
电脑与视频游戏	7	21
更具体而言，《民法典》和《刑法典》的若干条款就没有将禁止的规定包括在内，例如《民法典》第1179条和《刑法典》第59条，这两条赋予父母在没有界定的 " 正常限度 " 内体罚子女的权利。	88	248
环境署还发起了奖学金方案，为主要是来自发展中国家的青年科学家提供机会，参与负责不同章节的工作组的工作，并在研究和报告起草方面发挥作用。	67	201
我们在平潮	5	15
如果这场官司拖延下去... ... 它会影响到公司股价	25	63
你的通灵能力是怎么给你征兆的	14	42
我是运用 某种, 猜算吧？ 洗牌追踪-- 啊，很好.	22	58
他还报告了专家组其他活动的情况，例如信息的公布和传播以及与私营部门和公共部门其他国际组织和区域组织之间的联系。	55	165
对非洲来说，最安全和最有效的对策是统一认识、联合行动。	27	81
最起码他...	7	15
墨西哥合众国总统埃内斯托·塞迪罗先生阁下	20	59
行预咨委会建议，应要求秘书长在进度报告下个增编中提供关于区域服务中心总费用的信息，按客户特派团分列，并分析影响执行情况的主要因素。	65	195
70. 非洲经济委员会、非洲联盟委员会、世界银行、非洲开发银行和高级代表办事处应当加强它们的支助努力，协助拟订和缔结关于横贯非洲公路的政府间协定。	72	210
28. 尽管总的趋势是有利的，但若干区域在执行方面的进展较为缓慢。	32	90
考虑旨在提高妇女地位的联合方案编制工作将受到欢迎,而在这方面显然有相当大的协同潜力。	42	124
与此同时，强调继续就保护与可持续利用沿海和海洋生物多样性以及农业生物多样性等问题进行国际对话是至关重要的，因为它们是粮食保障问题（下一届世界粮食问题首脑会议的主题）的两个关键方面，而森林问题政府间小组展开的工作同时对这一讨论有决定意义。	118	354
他们掀起的运动以及越来越多的新闻媒介的披露应当引起国际上对 " 荣誉杀人 " 习俗的极为必要的关注。	46	134
对不起 爸爸!	6	16
我们刚丢了个嫌疑犯 他们用音乐袭击了我们 带走了他	23	69
我从来没有自己的地方 我从来没有家	16	48
看起来像是仓库的租约	10	30
139. 为了成功和有效实施生态运动面临的任务，并鉴于保护环境问题的特殊迫切性，在立法中引入了配额制度，世界上首次在议会立法院为该运动提供了15个议员席位。	77	219
而我们刚刚错过了上一个	11	33
-这是我们的船吗？	9	25
贩运人口和意图营利使人卖淫	13	39
市政当局可提供特别援助，成本不由其他计划承担。	23	69
你为何要选一个美丽的妻子?	13	37
组织会议休会后，秘书处将立即在上午10:30左右为各代表团举行有关以下内容的技术简报会：㈠ 审议各项决议草案和决定草案可能的所涉方案预算问题；㈡ 编辑决议草案和决定草案。	83	239
-我脱裤子了 你再不走我就脱裤子	15	43
你不喜欢我的发型吗？	10	30
监督厅致力于遵守职业标准，包括内部审计员协会制定的标准，并在可支配的资源范围内尽了全力。	44	132
出了场车祸	5	15
情况表明，去年首次采取的这种全面审议是一种有益的做法。	27	81
开发署、儿基会和人口基金(人口普查)	18	50
马耳他的搜寻救助培训中心被认为是一个优秀的中心，使马耳他能与邻国一起进一步加强相互可操作性和培训。	49	147
驻地代表/国家办事处	10	28
但我也跟你说过了	8	24
181. 人力资源和社会保障部以及妇女事务局向妇女们宣传他们的权利。	33	91
6. 联合国内部司法特设委员会主席还在第六委员会第1次会议上提出了特设委员会的报告。	41	117
人们是真正的设计师， 一夜之间， 整个开罗就遍布了海报， 标牌，涂鸦。	32	96
10. 暴力侵害妇女问题	11	27
在这方面，该集团促请所有文件编写部门，特别是及时提交率较低的3个工作地点在所分配的时限内提交文件。	49	145
2008/09年拟议预算应比目前的预算提案更明确地说明达尔富尔混合行动与联合国国家工作队这方面协作程度（第38段）	57	153
没有就奖学金获得者问题按性别进行的全面分析。	22	66
我也觉得很可惜	7	21
我只想感觉到一点希望	10	30
170. 委员会注意到，提交法院的种族歧视案为数很少。	26	70
你必须把这事解决了 求你了	12	36
布鲁里、马坎巴和鲁塔纳等南部省份也是叛乱分子攻击的目标和叛乱分子与军方之间暴力冲突的场所。	45	135
在警察派遣国不能提供专业警务人员或职能连续性尤为重要的情况下，应考虑寻求增加有所需专门知识的文职人员来提供协助。	56	168
妳知道上哪能找到他们 包括不受沃特操控的那些	21	63
"3到6岁的孩子... ...很容易被骗	19	39
A. 总务委员会	7	17
令中国在过去30年取得巨大成功的发展模式是以社会主义计划经济为初始条件的一种东亚发展模式的变体。 但这种发展模式现在已经耗光了大部分潜力。 因此中国已经到了紧要关头： 如果不进行痛苦的结构调整，中国的经济增长势头就有可能嘎然而止。	112	332
设立了民主基金方案协商小组，参与的有维和部、政治部、发展集团、开发署、妇发基金、联合国毒品和犯罪问题办事处及联合国人权事务高级专员办事处。	69	207
Sadiq Al-Jamri据称曾数次受到一些官员的威胁，他们试图逼他承认对动乱负责。	42	100
离岸外包应当包括根据规定的基准和业绩指标定期进行监测和报告的机制。	33	99
联赛期间使用了有针对性的环保小贴士来敦促观众形成有益环境的习惯。	32	96
男人认为其配偶是其家庭之主的只占案例的0.53%，而40.75%的妇女认为其配偶是处于该种地位。	48	122
一切都会顺利解决的	9	27
88. 共和国总检察长办公室在工作人员的《职业化教育机构日程》内，举办了 " 不歧视和残疾人权利研讨会 " ，并通过该研讨会讨论《残疾人权利公约》。	69	197
22. Cornette女士(圭亚那)代表加勒比共同体14个成员国发言,她说,加勒比共同体关切影响世界各地几百万人的种族主义、仇外心理、族裔和宗教 " 清洗 " 和有关的不容忍事件日益增多。	90	232
她称赞秘书长决心采取步骤，执行大会关于人力资源管理的指示。	29	87
你什么意思啊这个不直?	11	31
高级管理人员制定远景和目标；人力资源管理厅提供支助和指导，监测效果和制订战略和制度。	42	126
因此必须修订此种法律，使管理当局在确定最合适的营业额最低限度标准时具有一定程度的灵活性。	44	132
因着失眠，我感受不到现实世界	14	42
妇女开放 这究竟是什么？	11	33
接受现实吧 你接受现实吧	11	33
不过球员的交换团长有权决定	13	39
1之二 附件一所列缔约方应个别地或共同地确保其在附件A中所列温室气体的人为二氧化碳当量排放总量不超过按照附件[...]所列量化的减少排放的承诺和根据本条的规定所计算的其分配数量，以使其在[2013-2020承诺期内]将这些气体总排放量[至少减少45%，到2028年至少减少57%。	139	359
19. 瑞士政府成为该决议草案提案国的理由有三。	23	63
后一方面尤为重要，因为秘书长最近任命该部为联合国系统内警务和其他执法活动的全球牵头单位。	44	132
但如果只能扭转成这样 感觉有点可悲	16	48
几百部之中 只有这一部	10	30
看你工作 我很荣幸 温蒂·比尔德	14	41
烟太多了	4	12
麦克尔·汤姆林呢	8	23
这一过程造成国内市场的劳动力竞争，本国国民和长期居民希望保留其特权，而移徙工人愿意在较差的工作条件下工作。	53	159
所列经费比2003/04年度核定数额减少60 200美元，这是因为本预算建议将一个过去由一般临时助理人员经费供资的一般事务其他职等员额正规化。	70	186
6. 在强调迫切需要逆转生物多样性丧失的同时，他对《关于获取遗传资源和公正和公平分享其利用所产生惠益的名古屋议定书》和《卡塔赫纳生物安全议定书赔偿责任和补救问题名古屋-吉隆坡补充议定书》最终定稿并获得通过表示欢迎。	106	312
感觉话里有话	6	18
你记得男孩的名字吗？	10	30
43. 根据《综合技援方案》，贸发会议、世贸组织和国贸中心共同援助一些最不发达国家和非洲的发展中国家以提高其人员、机构和企业的能力，从而更好地融入多边贸易体制。	79	231
信息技术服务台	7	21
- 我回来待半天	7	19
大韩民国：	5	15
由于增长疲软，劳动力市场不振，2003年该区域贫困现象进一步加剧，这就不足为奇了。	41	115
报告揭露出许多方面重大违规现象，包括无视支出程序，立法监督薄弱，缺乏透明的税收记账。	42	126
人民院传唤了国防部长、内政部长、外交部长和部落事务部长，以讨论库纳尔的跨界事件。	40	120
通过使用他创造的或并未创造的资源和科技， 以及每个人当前的亦或... 未来的潜在创造力...	44	120
在卢旺达，我仍然关注强迫刚果难民返回的现象；我已经就该问题与卢旺达政府交涉。	38	114
然而，人类活动不可乱来，打破地球系统的平衡，结果与人类发展背道而弛。	34	102
本报告述及科索沃特派团2012年10月16日至2013年1月15日期间的活动以及相关的事态发展。	48	114
加强监督和审计	7	21
没必要为了宝藏送命	9	27
该中心将向会员国提供援助，帮助它们做好在公约及其各项议定书生效后即付诸实施的工作。	41	123
又表示注意到2008年9月22日在纽约举行的非洲发展需求问题高级别会议的《政治宣言》，	43	115
委员会建议缔约国考虑到1996年在斯德哥尔摩举行的禁止对儿童商业色情剥削世界大会通过的《行动议程》中提出的各项建议，并将受禁止商业色情剥削的保护年龄范围提高至18岁。	83	237
天啊 她很有胆识	7	21
他像个灯泡一样亮了起来 他说 他和他爸爸的关系	21	63
你可以解散了 法比奥上校	11	33
