,Sentences,Epoch-10
0,"My goodness, everyone's on their game today.",0.4006707027540361
1,"- I know that, Sylvie.",0.3156824443780889
2,"They're the 30 entrepreneurs who are doing things that are cool, trendy, hot.",0.39521001703926245
3,You should've asked me first.,0.5097222222222223
4,Everything you ever told me was a lie.,0.519078947368421
5,Are you making fun of us?,0.5836385836385836
6,Maybe you should tell her.,0.5619047619047619
7,"Squirrel, Squirrel, Squirrel, where the fuck are your nuts?",0.4609450038322913
8,"Dad, this place has literally zero stars on Yelp.",0.3075009163928975
9,Don't fucking walk away from me.,0.6476866883116882
10,"He drove to the basket and the referee called a foul, and Magic threw the ball up to the top of the arena and was screaming about,",0.2667222052078575
11,"After you and me talked, I searched that idiot Steve out... to rebuke him and smack him in the face for being who he was.",0.38617021127335344
12,"Okay, one second, let me just...",0.3519634230503796
13,I don't give a shit if he was trying to melt his balls together.,0.42823973021895384
14,There were five of us.,0.5555555555555556
15,- I'll give you a call about this.,0.4527874194916888
16,Why did you let me lie to you?,0.5732023411371236
17,That's not what we agreed on.,0.7261904761904763
18,"As soon as I said that, she ran.",0.41405162738496076
19,"Yeah, well, if you think that's a surprise, try this.",0.5169815223386652
20,I've heard much about you.,0.5376006441223833
21,Just as it is his will who shall win.,0.1756212282187766
22,Hate is a burden.,0.6273809523809524
23,"We have to fight against the lack of opportunities, jobs, and basic services, such as health care and education.",0.4390460689823776
24,It also has messaging and mobile banking functions.,0.1868642801645131
25,I used it already.,0.3822384093824446
26,"Without your source, it reads like random murders.",0.34421720515617227
27,The tall one.,0.2223015117877154
28,You're the real deal.,0.543859649122807
29,I should be sitting at a desk.,0.2927489177489177
30,It's just a game!,0.5266666666666666
31,[Park Min-young] He boasts about his 95-percent conviction rate.,0.44578420720465256
32,"You know the saying,",0.42729357798165135
33,-Nothing's the matter.,0.15296882822393026
34,"They dedicated their lives to the Silo, like we all do every day.",0.4910102422598283
35,"Hey, where is my wife?",0.45555555555555555
36,"Hey, it's my favorite member of the bureau.",0.49519819183084496
37,Visiting hours ends at nine.,0.1226156570853341
38,Are you certain the entire party was not simply eyeing a tear in her dress?,0.1927095531081503
39,Results are still coming back the same.,0.27826990598453605
40,We have to get down to the tree line.,0.4932760141093474
41,"God, I feel so good.",0.6444444444444445
42,Come back for it.,0.325
43,"For a woman, whose little daughter had an unclean spirit, having heard of him, came and fell down at his feet.",0.3979640174876748
44,We are card counters at the blackjack table and we're gonna turn the odds on the casino.,0.431833514399536
45,Who's counting anymore?,0.5026923422815774
46,I thought I could try to analyze you and get to the root of your anxiety.,0.30952243631509146
47,[Maan exhales] I'm exhausted.,0.4337328470678363
48,"-Do you need us with you, Chief?",0.2716247981490441
49,To do this.,0.16984126984126982
50,Lots of railings and ramps if safety is your thing.,0.2937246788352294
51,Everyone from B school has stuff locked in too.,0.24755124284127994
52,But... shake it off.,0.5106162034299231
53,♪ What's up next you won't believe ♪,0.29167595963261594
54,- And a matching hat.,0.21292142348699405
55,"Hawk-2, abort mission and return back to base at once!",0.3156858577930007
56,"Okay, okay, well, I mean, I was gonna try the vault door, but there's... there's lasers crossing in front of it on this side.",0.43755295934761274
57,I'm in a very big house with someone who says she's your friend.,0.4325876715876716
58,"To think, one day, I shall die, too.",0.40342341641042945
59,Is it even worth owning when it's fake?,0.400905240658309
60,"But he knew labor can only earn you a livelihood, not a life.",0.30566456384321233
61,- Fuckin' Mondays.,0.5000255396852192
62,You... you are depressed.,0.3308931419457736
63,What 'old friend'?,0.00557071671791015
64,Why did I agree with your plan?,0.34121621621621623
65,Why is it my fault?,0.6467532467532467
66,Have a nice walk!,0.24368169398907102
67,"I must warn you, though.",0.435570987654321
68,"Hey, hey, I found a review.",0.38666061916076155
69,"This summer, when you're out grilling with the family, there's only one sauce that has the sweetness and the spiceness that everyone loves.",0.39274424317371787
70,Help with Automake manager and persistent class store,0.04720433272125023
71,"Yeah, to killing it.",0.41030653819224483
72,"No, you can't be.",0.525
73,You heard the woman.,0.34604978354978355
74,"One of them coyotes, he made love to my skull.",0.4234181512402763
75,"You agree, yeah?",0.33793249922767993
76,"Brothers, I don't regard myself as yet having taken hold, but one thing I do. Forgetting the things which are behind, and stretching forward to the things which are before,",0.3566373054648751
77,I know what it looks like when people don't see you.,0.46381056808688387
78,TOP PLAYERS FISH TANK MANAGER,0.01117044996598897
79,"People that travel, they have a broader worldview.",0.3126704751333159
80,It does have to be in the dictionary!,0.34247371522854236
81,"Francis Bacon, 1st Viscount St Albans",0.3000335021237307
82,"Yeah, but, what about him, will he?",0.4082309694847083
83,"Like, I can't even post an Instagram picture without ticking someone off.",0.35385433050435505
84,We'll never find them.,0.3152380952380952
85,"Who, who, who might know about it?",0.3385543106131342
86,"- Midge, I've got it covered.",0.5312546101644907
87,"It was lives, arms, legs.",0.37018646396165483
88,"Oh, so now you speak French.",0.3421341816078658
89,-There's no signal.,0.5048557133922987
90,Otherwise... everything will go to hell.,0.4267278193989213
91,"That's a relief, because I was looking at your accounts.",0.376679968776743
92,"♪ Nine o'clock, I write a lyric or two ♪",0.43990394630855084
93,"In 1998, I lost my reputation and my dignity.",0.4739191423566423
94,Do you like attacking your own kind?,0.45965861623756366
95,I want to beat her.,0.44299765807962527
96,"Well, Sam's better.",0.3710043787629994
97,You just shut your mouth.,0.37823129251700677
98,- Why would I be?,0.42857960819598373
99,"Daniel, what would you do if we gave you $20?",0.4988430621290662
100,I thought you said she had you fake a shot of her in Azabu the other day.,0.3188235013264298
101,She will bite your nuts off and make them into earrings.,0.19400562430493115
102,Its liver expands by eight times.,0.07396090141539609
103,Valid doubts... the pursuit of which led her to have a fuckin' meltdown.,0.30518349162448155
104,We're having a baby!,0.6117647058823529
105,At least we're safe here.,0.3826388888888889
106,Have you met my good friend María?,0.5098982824955366
107,Courts will be convened.,0.3506969061087988
108,"Hooks at the rear end anchor them to the rocks, but the current is sometimes irresistible.",0.3064201722496987
109,Maybe it's rubbed off.,0.6666832407944532
110,Because what we do is we take fat from our butts and put it in our cheeks.,0.4385574306014272
111,"Yeah, you can't promise me that.",0.7132911392405064
112,"What the hell, Dot?",0.4536343414371096
113,"Michelle, you don't understand.",0.5222878625134263
114,"But for Eastern Europeans, the sudden availability of all these consumer products on the marketplace was a deluge.",0.3121169046536762
115,"You deal with Mirrorsoft exclusively, or have you forgotten your contract?",0.30786187368065
116,I gotta go over there.,0.6162406015037594
117,"Follow the brightest star in the sky north, to Ha'rar.",0.4684656657356105
118,Is she in some sort of trouble?,0.5427220533603513
119,"But you know what the problem is, Emma?",0.5407144733385868
120,-It's not a lie.,0.5919555170421721
121,"Well, I think the, uh, the Food and Drug Administration would welcome a solution to this truly devastating opioid epidemic.",0.41024301204694014
122,"I'm a good, loyal friend.",0.46005830903790085
123,"I'm sorry, but she is accusing me of something that would never happen.",0.5871550285463328
124,"There's an open seat next to me, Teddy.",0.388874575365472
125,I know we are not doing live swans.,0.23400846820341542
126,"Treat this as you would Basra, Brega, or Damascus.",0.16369236551809982
127,I studied medical practice at a place called Seoraewon around 20 years ago.,0.37580386601413895
128,You are looking good.,0.33636363636363636
129,You don't mean them.,0.43138478379857687
130,I think we had a tin in the convent larder.,0.35107783523117075
131,"Hey, guys, he's going to play ""Ja Ja Ding Dong""!",0.3201396873489459
132,The choice is yours. Either that or actually have the time to raise to your daughter.,0.28881472469644637
133,Kids got to pee?,0.17313865909371529
134,Last time I was in court was 13 years ago.,0.5477156177156177
135,"In that instance, her mother could pay your legal fees.",0.2538242605612699
136,- Count that.,0.03261414985054311
137,He told me a lot of things.,0.6363795518207284
138,If you go... you and I... will survive.,0.39377129680701106
139,"As above, so Below",0.2675358783859623
140,We're gonna go from five to three.,0.5032528641571195
141,Think I may need some field hands.,0.22066942701625505
142,"No, but... you're just giving me the docs?",0.37993543178667666
143,"If I can hook up the walkie talkies, I might be able to get on the same frequency.",0.47705847500749304
144,"Mulder, what are you doing?",0.6786106427198934
145,"Reporter Barbie, you can ask me any question you want.",0.35382131150722024
146,Isn't it hard?,0.5989583333333334
147,I'll take one in a minute.,0.44411764705882356
148,I'm gonna take a wild guess that was you.,0.3825466476913346
149,"Oh, the storms round here come on in no time.",0.4214148369233591
150,It means they're invisible.,0.4275767710550319
151,She wouldn't take it.,0.6174789915966385
152,"Tempers flared so hot that chilly autumn eve that the ground temperature rose about 11 degrees, and Wesley Fists evaded the impossible choice by eliminating the unanswerable question.",0.2121825351509009
153,- It's a little bit funny.,0.6469511795340693
154,"And every beast that parteth the hoof, and cleaveth the cleft into two claws, and cheweth the cud among the beasts, that ye shall eat.",0.35603051653670226
155,"Okay, so let's see.",0.4592592592592593
156,"No leadership means nobody giving orders, and that sure as hell includes you.",0.29948418296531426
157,Stopped a couple soldiers from beating the hell of each other over a stolen care package from home.,0.17273718958528825
158,Stockholm in 1912,0.0035463745810833083
159,"You were right, that bowline knot is fantastic.",0.21266150667198572
160,"No, I'm pretty goddamn far from all right.",0.5234462204462205
161,All that is known at this time is that a tow truck dragged him down a residential street before the truck exploded.,0.305639802489585
162,Would that carry any weight?,0.2697557043650794
163,Let her up.,0.38425925925925924
164,I didn't know you were going to be here.,0.8257575757575758
165,I can't move it!,0.3708333333333333
166,"Well, I think that he got nervous because the release is close.",0.35314839886289096
167,"Honestly, it feels really nice.",0.41464210801471474
168,"Yes, and I want to have chicken and pizza.",0.4611882318704167
169,I've loved you since Casablanca.,0.39686896341927147
170,"Call the cab, come on.",0.3858465608465608
171,Maybe there was a party at the zoo and a monkey fucked a fish.,0.29378417470318957
172,I'm ashamed that you came out of my body!,0.4170402930402931
173,In recognition of your years of service.,0.42877453261560106
174,"He sent it to me, not you.",0.5136747802569304
175,All right? We're not missing a penny.,0.46150284900284905
176,This man cannot be allowed to bring discord to our flourishing nation.,0.3882301445189477
177,Do you know where to go?,0.5555555555555555
178,Such a strange thing... waiting for your daddy to die.,0.48913604217356627
179,Felipe III of Spain,0.6666927838282536
180,Then give me the change.,0.4060521235521236
181,A dwarf cuttlefish.,0.33347872355067976
182,"Well, he'll get him, all right.",0.3655146785581568
183,- What's there to explain?,0.5104693475790733
184,I wasn't asking about him.,0.39166666666666666
185,I hope it works out this time.,0.4031441845030695
186,He was so boring.,0.4271186440677966
187,"I think she's trouble, but I recall you were high on her earlier.",0.3522228246899147
188,"There's too many moving parts, parts that we can't control.",0.583495906590077
189,You're lucky I'm not a man.,0.5394625603864734
190,You knew shit.,0.3391234900668863
191,"Seriously, you got to read it.",0.6304267161410019
192,And none of it mattered unless I could get you back.,0.3327741702741702
193,I was running several iterations of the AI to see which one worked best.,0.18155896929020057
194,I hear it's like heaven up there.,0.42598769168684425
195,"- Hi, blue eyes.",0.4501041271739748
196,I'm going to finish this song for Mr. Sturdyvant.,0.5138495357392534
197,"You know what always cheers me up, Coach?",0.41790122408427915
198,I've been on the phone all morning with the appointment secretary of the police commission.,0.3689090013209248
199,"Look, friend, you don't understand my situation.",0.5984038716300104
200,Mom! What's going on?,0.49292929292929294
201,"No, like, it's fine.",0.5946196660482375
202,The Puppet Theatre,0.004733085228957718
203,Give us a spin.,0.5646929824561404
204,And even carry an equipment bag around with him if he likes.,0.13352517352944704
205,"You can't weigh it, measure it, smoke it.",0.4700435295890157
206,So would the enemy.,0.0901389566065334
207,Why are you all standing there?,0.5287698412698413
208,"But because of your attitude, you must pay double, now.",0.30025993229593634
209,-The day after tomorrow?,0.3034370124804992
210,"Fury, why haven't you called any of your special friends down?",0.4156902037789531
211,And I always believed in the golden rule.,0.38783255751777695
212,"Mind if I, uh...",0.6014705882352941
213,She didn't steal the crystals for herself.,0.3320602388682746
214,- You got everything you need?,0.39857818460165517
215,This situation is dictated in Section One of the manual.,0.34954455352902
216,All you have to do is wait.,0.7448979591836734
217,"We were talking about my mom, but can we change the subject?",0.41569154902967936
218,Christmas chimes reminding me,0.1668010396558718
219,We ran into Vidar.,0.3769486411933349
220,And my mother shot herself.,0.3783712495878668
221,"I think I may need to wipe myself, though.",0.3286380183284208
222,"Yes, I know they had money issues.",0.4032920459850607
223,We weren't always alone in this.,0.33086527293844364
224,"It's unsettling, isn't it?",0.7858784893267652
225,"Do you know who I am, boy?",0.6490384615384615
226,Tell me that was you just now.,0.3833588891728427
227,"I'm making you a shopping list, Liz.",0.43260615394101065
228,"Rumor has it you find yourself quite preoccupied at Caryeva, between the horse races and the brothels.",0.1969968068081923
229,"What happened to your little macho balls then, huh?",0.4475639009449413
230,- Why does anyone buy a llama?,0.24211344486606182
231,"Shut up, dickhead.",0.6261682242990654
232,I said leave me.,0.14849877450980392
233,It hurts more if you believe somebody is doing it to you on purpose.,0.3279124843410558
234,That's why I'm so lonely.,0.6462585034013605
235,"She used the bathroom, went back to bed.",0.3885065646244874
236,What is going on with them?,0.492003367003367
237,"Finally, he committed suicide.",0.6292063492063492
238,But what is the name of this magical point in life where change suddenly goes from a gallop to a crawl?,0.25472065475102945
239,"Otherwise, we'll have to sedate you and do it a different way.",0.3800605029483829
240,"Now it may sound simple, but it helps to create perspective.",0.45670687786012865
241,You have created a connection between the two of you that will end.,0.49752499735801725
242,"To send a message, something.",0.407181048779093
243,"Uh, scale of ten, what's the mess factor?",0.5156232239531459
244,Come out quick!,0.14791666666666667
245,Want us to send the police?,0.5595959595959595
246,"The low end of the sentencing guidelines is if you take the plea, you get two years.",0.3151861595205492
247,- Don't you lie to me!,0.609249007758631
248,"Uh, I-I haven't been sleeping, either.",0.5831593446425982
249,Please don't start.,0.5040322580645161
250,"Tiny, come here.",0.5200574382538771
251,"Samaritan, just another cop to protect the rich while the rest of us went hungry.",0.281422216240375
252,But I need to do something.,0.6055555555555555
253,We found Jessica Roach.,0.26009533322617434
254,"Stop it, you're scaring me!",0.7906403940886699
255,"Catherine, you gotta stop babying the boy.",0.2820488731947065
256,It's not quite that simple.,0.5359375000000001
257,We got some money that needs spending.,0.13643542688393187
258,He wants us to follow.,0.28471794871794875
259,You have an amazing jackal dance.,0.3683808173935681
260,"Are you sure you don't want an escort, Lieutenant?",0.6195992179863148
261,Did he survive?,0.44877344877344877
262,I didn't know we would fall in love.,0.5937150762948635
263,"Back in 1995, that was a lot.",0.41416875696767
264,- I gotta do something.,0.3429159058096776
265,- How's my favorite customer?,0.22897278791400608
